ID_indicador,ano,n,media,mediana,desv_std,minimo,p10,p90,maximo
Activo Productivo,2021,1656,0.828,0.846,0.104,0.0,0.715,0.937,1.005
Activo Productivo,2022,1656,0.86,0.88,0.097,0.0,0.759,0.948,0.997
Activo Productivo,2023,1656,0.87,0.883,0.084,0.0,0.796,0.944,1.013
Activo Productivo,2024,1656,0.837,0.853,0.104,0.0,0.742,0.931,1.036
Activo Productivo,2025,1656,0.815,0.836,0.117,0.138,0.691,0.925,1.036
Activos líquidos ampliados / depósitos a corto plazo,2021,1656,1.152,0.624,4.607,0.0,0.274,1.899,139.475
Activos líquidos ampliados / depósitos a corto plazo,2022,1656,1.054,0.506,5.296,0.0,0.246,1.449,156.825
Activos líquidos ampliados / depósitos a corto plazo,2023,1656,0.843,0.472,2.5,0.0,0.226,1.305,67.146
Activos líquidos ampliados / depósitos a corto plazo,2024,1656,0.881,0.503,2.205,0.0,0.247,1.533,76.594
Activos líquidos ampliados / depósitos a corto plazo,2025,1656,1.039,0.573,3.331,0.147,0.279,1.7,119.082
Estructura de Balance,2021,1656,1.797,1.412,1.059,0.0,1.086,2.83,8.781
Estructura de Balance,2022,1656,1.882,1.488,1.127,0.0,1.129,2.878,8.945
Estructura de Balance,2023,1656,1.932,1.489,1.171,0.0,1.163,3.009,7.984
Estructura de Balance,2024,1656,1.841,1.431,1.106,0.0,1.066,2.936,7.237
Estructura de Balance,2025,1656,1.748,1.393,1.0,0.4,1.012,2.776,6.963
Indicador de Cobertura de la Cartera Total en Riesgo,2021,1656,0.054,0.046,0.031,0.0,0.023,0.093,0.231
Indicador de Cobertura de la Cartera Total en Riesgo,2022,1656,0.054,0.045,0.033,0.0,0.024,0.092,0.245
Indicador de Cobertura de la Cartera Total en Riesgo,2023,1656,0.057,0.049,0.035,0.0,0.025,0.096,0.236
Indicador de Cobertura de la Cartera Total en Riesgo,2024,1656,0.063,0.054,0.037,0.0,0.026,0.111,0.227
Indicador de Cobertura de la Cartera Total en Riesgo,2025,1656,0.067,0.059,0.04,0.012,0.028,0.125,0.243
Indicador de Cobertura individual de la cartera improductiva para la cartera en Riesgo,2021,1656,0.581,0.585,0.212,0.0,0.302,0.851,1.0
Indicador de Cobertura individual de la cartera improductiva para la cartera en Riesgo,2022,1656,0.571,0.581,0.221,0.0,0.277,0.848,1.048
Indicador de Cobertura individual de la cartera improductiva para la cartera en Riesgo,2023,1656,0.558,0.56,0.197,0.0,0.299,0.801,1.044
Indicador de Cobertura individual de la cartera improductiva para la cartera en Riesgo,2024,1656,0.552,0.559,0.199,0.0,0.299,0.805,1.0
Indicador de Cobertura individual de la cartera improductiva para la cartera en Riesgo,2025,1656,-0.006,0.002,0.551,-0.982,-0.685,0.679,0.985
Indicador de Margen Financiero de Operación,2021,1656,0.783,0.783,0.097,0.0,0.655,0.895,0.983
Indicador de Margen Financiero de Operación,2022,1656,0.78,0.784,0.103,0.0,0.646,0.899,0.98
