ID_registro,ano,mes,ID_indicador,ID_cooperativa,valor
1,2021,1,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2733730877817775
3,2021,1,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4039004210622349
4,2021,1,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0692025074831606
5,2021,2,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2676508863588338
7,2021,2,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.3921612541205971
8,2021,2,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0687598582995096
9,2021,3,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2571830181833157
11,2021,3,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4003673684306114
12,2021,3,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.077568944780839
13,2021,4,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2665260179011788
15,2021,4,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4132624281794474
16,2021,4,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0770097415380609
17,2021,5,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2780307554442334
19,2021,5,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.3990134194223779
20,2021,5,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0679268951633419
22,2021,6,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
23,2021,6,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
25,2021,7,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
26,2021,7,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
28,2021,8,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
29,2021,8,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
31,2021,9,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
32,2021,9,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
34,2021,10,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
35,2021,10,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
37,2021,11,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
38,2021,11,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
40,2021,12,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
41,2021,12,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
42,2022,1,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2657188198076896
44,2022,1,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4312164614204547
45,2022,1,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0674098277180277
46,2022,2,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.270410579414814
48,2022,2,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4127632504870207
49,2022,2,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0722769212581101
50,2022,3,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2435485703973408
52,2022,3,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4222556919867599
53,2022,3,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0745907196191897
54,2022,4,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2484631401642263
