ID_registro,ano,mes,ID_indicador,ID_cooperativa,valor,categoria
1,2021,1,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2733730877817775,Micro 1
3,2021,1,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4039004210622349,Micro 1
4,2021,1,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0692025074831606,Micro 1
5,2021,2,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2676508863588338,Micro 1
7,2021,2,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.3921612541205971,Micro 1
8,2021,2,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0687598582995096,Micro 1
9,2021,3,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2571830181833157,Micro 1
11,2021,3,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4003673684306114,Micro 1
12,2021,3,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.077568944780839,Micro 1
13,2021,4,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2665260179011788,Micro 1
15,2021,4,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4132624281794474,Micro 1
16,2021,4,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0770097415380609,Micro 1
17,2021,5,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2780307554442334,Micro 1
19,2021,5,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.3990134194223779,Micro 1
20,2021,5,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0679268951633419,Micro 1
22,2021,6,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
23,2021,6,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
25,2021,7,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
26,2021,7,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
28,2021,8,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
29,2021,8,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
31,2021,9,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
32,2021,9,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
34,2021,10,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
35,2021,10,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
37,2021,11,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
38,2021,11,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
40,2021,12,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
41,2021,12,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
42,2022,1,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2657188198076896,Micro 1
44,2022,1,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4312164614204547,Micro 1
45,2022,1,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0674098277180277,Micro 1
46,2022,2,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.270410579414814,Micro 1
48,2022,2,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.4127632504870207,Micro 1
49,2022,2,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0722769212581101,Micro 1
